,Strike,Spot,volume,Implied vol,Maturity,type
29,225.0,4.4,6265.0,0.1289149609375,24,call
30,227.5,2.73,15322.0,0.1667563793945313,24,call
31,230.0,1.54,19339.0,0.18140467041015623,24,call
32,232.5,0.79,9352.0,0.18970536865234378,24,call
33,235.0,0.39,10362.0,0.198250205078125,24,call
34,237.5,0.18,2912.0,0.20703917968749996,24,call
35,240.0,0.09,10283.0,0.22022264160156246,24,call
36,242.5,0.05,1457.0,0.23633576171874998,24,call
37,245.0,0.03,2379.0,0.25391371093750004,24,call
38,247.5,0.01,1292.0,0.273444765625,24,call
39,250.0,0.01,1789.0,0.304694453125,24,call
43,270.0,0.01,401.0,0.49219257812500006,24,call
26,225.0,5.51,3337.0,0.18164880859375,31,call
27,227.5,3.9,3730.0,0.18579915771484373,31,call
28,230.0,2.67,4149.0,0.1840901904296875,31,call
29,232.5,1.73,1605.0,0.18567708862304685,31,call
30,235.0,1.06,1623.0,0.18628743408203124,31,call
32,240.0,0.35,673.0,0.19409985595703128,31,call
33,242.5,0.18,844.0,0.1977619287109375,31,call
36,250.0,0.05,816.0,0.225593681640625,31,call
19,230.0,3.65,1207.0,0.19275709594726562,38,call
22,245.0,0.26,666.0,0.1948322705078125,38,call
23,250.0,0.14,419.0,0.20508607421874997,38,call
38,220.0,10.65,572.0,0.2142412561035156,52,call
39,225.0,7.37,1077.0,0.2049640051269531,52,call
40,230.0,4.47,2014.0,0.19348951049804688,52,call
41,235.0,2.43,21435.0,0.19312330322265625,52,call
42,240.0,1.2,10040.0,0.192390888671875,52,call
44,250.0,0.25,1070.0,0.19873848144531248,52,call
61,370.0,0.01,1020.0,0.5468795312500001,52,call
24,260.0,0.15,545.0,0.21436332519531248,87,call
35,225.0,10.82,923.0,0.25623302368164064,150,call
36,230.0,8.31,814.0,0.2478712908935547,150,call
37,235.0,6.01,424.0,0.2423781817626953,150,call
38,240.0,4.13,1288.0,0.23688507263183595,150,call
39,245.0,2.66,1446.0,0.2322464471435547,150,call
31,195.0,38.1,1849.0,0.32459171508789053,178,call
42,250.0,3.14,1210.0,0.22052781433105467,178,call
46,270.0,0.82,930.0,0.21753712158203126,178,call
49,250.0,4.35,743.0,0.22275557525634765,205,call
51,260.0,2.22,782.0,0.21674367248535154,205,call
59,300.0,0.22,1169.0,0.22827920166015625,205,call
38,230.0,20.01,803.0,0.2695385546875,451,call
47,300.0,2.1,1615.0,0.23206334350585936,451,call
7,145.0,0.01,2850.0,1.21875390625,24,put
9,155.0,0.01,1009.0,1.0625046875000002,24,put
12,170.0,0.02,613.0,0.8125018749999999,24,put
15,185.0,0.01,593.0,0.6718782812500002,24,put
19,200.0,0.03,703.0,0.49609878906250005,24,put
21,205.0,0.04,2335.0,0.42969320312500003,24,put
23,210.0,0.06,1856.0,0.36524072265625,24,put
24,212.5,0.09,2066.0,0.335944140625,24,put
25,215.0,0.12,3441.0,0.31250687499999996,24,put
26,217.5,0.22,2505.0,0.29932341308593746,24,put
27,220.0,0.38,13315.0,0.2778392529296875,24,put
28,222.5,0.67,10014.0,0.2739330419921875,24,put
29,225.0,1.24,21367.0,0.27075924560546877,24,put
30,227.5,2.11,9659.0,0.26807372558593745,24,put
31,230.0,3.45,4169.0,0.27930408203124996,24,put
32,232.5,5.6,679.0,0.31153032226562494,24,put
23,210.0,0.26,450.0,0.29492892578124996,31,put
25,215.0,0.46,646.0,0.2661206201171875,31,put
26,217.5,0.68,473.0,0.2561109545898438,31,put
27,220.0,0.97,1716.0,0.24695577270507812,31,put
28,222.5,1.44,1825.0,0.2442702526855469,31,put
29,225.0,2.12,3725.0,0.23743438354492186,31,put
30,227.5,3.05,876.0,0.23584748535156247,31,put
31,230.0,4.45,1258.0,0.23743438354492186,31,put
2,135.0,0.01,1250.0,0.7656273437500001,38,put
3,140.0,0.02,1250.0,0.7187528125,38,put
5,150.0,0.04,2511.0,0.6601596484375001,38,put
9,170.0,0.04,4572.0,0.5214891601562499,38,put
18,215.0,0.86,474.0,0.25269302001953126,38,put
20,225.0,2.85,750.0,0.22901161621093752,38,put
15,100.0,0.01,721.0,0.937500625,52,put
16,105.0,0.01,465.0,0.8906260937499999,52,put
17,110.0,0.01,4900.0,0.8437515624999999,52,put
23,140.0,0.02,3327.0,0.632816171875,52,put
35,200.0,0.35,480.0,0.30713583496093744,52,put
37,210.0,0.77,3445.0,0.2618482019042969,52,put
38,215.0,1.24,732.0,0.24585715087890625,52,put
39,220.0,2.08,5784.0,0.2318192053222656,52,put
40,225.0,3.45,2277.0,0.22553264709472653,52,put
41,230.0,5.66,831.0,0.2148516015625,52,put
22,230.0,6.05,484.0,0.21057918334960937,87,put
11,70.0,0.01,850.0,0.937500625,150,put
17,100.0,0.02,2198.0,0.6875031250000001,150,put
26,145.0,0.09,484.0,0.4931691308593751,150,put
41,220.0,5.05,975.0,0.25879647460937505,150,put
42,225.0,6.75,1236.0,0.2498243963623047,150,put
32,200.0,2.25,428.0,0.27033200378417965,178,put
37,225.0,8.2,439.0,0.2275773043823242,178,put
16,85.0,0.04,1823.0,0.6132851171875001,205,put
19,100.0,0.06,1941.0,0.5429733203125001,205,put
25,130.0,0.13,609.0,0.4335994140625,205,put
42,215.0,5.9,532.0,0.23267368896484375,205,put
45,230.0,11.18,2987.0,0.20957211334228515,205,put
